m,n,r,AMP_norm_0,AMP_norm_1,norm_0,norm_1,rank,time
100,50,25,4758,223.0573221,3732,194.2753987,25,0.8074119
200,100,50,18818,609.1346113,14941,539.7047347,50,22.9596059
300,150,75,42162,1003.000249,33769,868.1903171,75,41.4620957
400,200,100,75400,1528.747633,64273,1339.894367,100,79.2269028
500,250,125,117298,2122.966363,100830,1870.633866,125,117.0336833
1000,500,250,465310,5580.399733,410055,4886.755659,250,1368.282753
2000,1000,500,1840314,13737.37076,-1,-1,-1,-1
3000,1500,750,4086807,23888.77023,-1,-1,-1,-1
4000,2000,1000,7223207,34999.29109,-1,-1,-1,-1
5000,2500,1250,11204577,47656.65689,-1,-1,-1,-1
