m,n,r,bound_ratio_mean,norm_0_ratio_mean,norm_1_ratio_mean,rank_ratio_mean,time_mean
100,50,25,0.9649599999999999,0.5076564836391386,0.8220829452696051,1.8960000000000001,2.6607481799999997
120,60,30,0.9636666666666667,0.5053102804274096,0.8182686396006462,1.9266666666666665,17.42109348
140,70,35,0.972938775510204,0.5104870179985165,0.8233201494811194,1.9257142857142857,43.35348866
160,80,40,0.9629999999999999,0.5087809723665799,0.8202618124351224,1.9150000000000003,47.8129754
180,90,45,0.9677530864197532,0.5109604927778008,0.818315813104098,1.9333333333333336,66.99619206
200,100,50,0.96674,0.5112968101959519,0.8210873576298676,1.9439999999999997,67.00757073999999
220,110,55,0.9700826446280992,0.5122921129749158,0.8178914113297384,1.9709090909090907,92.2138606
240,120,60,0.9619166666666666,0.5084327733749409,0.8192770927579227,1.9633333333333334,96.48682246000001
260,130,65,0.9719171597633135,0.5146697214125043,0.8170141018165911,1.9415384615384617,100.83659221999999
280,140,70,0.966826530612245,0.5110935183356891,0.8201169615322541,1.9600000000000002,125.11823637999998
300,150,75,0.9683377777777779,0.5138716163266275,0.8209069095855105,1.9626666666666668,145.13023981999999
320,160,80,0.9669296874999999,0.5122474518124589,0.8205482249632972,1.9725000000000001,145.18632278
340,170,85,0.9684152249134949,0.5136321524961769,0.8185907211481892,1.9741176470588235,169.72268968
360,180,90,0.9709135802469134,0.5162976339500591,0.8119147715578482,1.9622222222222223,191.05106204
380,190,95,0.9669529085872576,0.5137165653265712,0.8142673382351242,1.972631578947368,209.53215684000003
400,200,100,0.971875,0.5158634935163403,0.8150486584270269,1.968,192.97526657999998
420,210,105,0.9723446712018141,0.516732998970796,0.8125215676404915,1.9695238095238097,212.17377286
440,220,110,0.971202479338843,0.5171032650294404,0.8117954233758102,1.9636363636363636,225.09369488000002
460,230,115,0.9690699432892249,0.5157696683400135,0.810451585179764,1.9756521739130435,248.11970323999995
480,240,120,0.9728749999999999,0.5188987725969932,0.8140520366220535,1.9616666666666667,285.02160399999997
500,250,125,0.9713343999999999,0.5176707226005273,0.8168331426246566,1.9616,273.61373234
520,260,130,0.9712810650887574,0.5191906100256855,0.8122291678108186,1.9815384615384617,419.81458039999995
540,270,135,0.969281207133059,0.5165403246702844,0.8071914998189917,1.9659259259259259,472.89623756000003
560,280,140,0.9665255102040817,0.5148272222893213,0.8093171943905096,1.9614285714285713,478.30073112
580,290,145,0.9717574316290131,0.5188811978553278,0.8118323288751912,1.9793103448275862,492.79404528
600,300,150,0.9691288888888889,0.5171096517987056,0.8093616024242618,1.9826666666666668,517.4324366999999
60,30,15,0.9675555555555555,0.5048958954207488,0.833747854247701,1.9066666666666667,0.42612878
80,40,20,0.96075,0.5035240406872077,0.824946353654,1.95,1.14473298
